"","V1","V2","V3","V4","V5","V6","headline","date","url","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"5165","Coronavirus","Digitalisierung","Soziale Ungleichheit","Social Distancing",NA,NA,"no","2020-04-09T11:41:32.588570+00:00","http://xml.zeit.de/campus/2020-04/sommersemester-2020-coronavirus-studium-pruefungen-vorlesungen-seminare-online",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5166","Ostern","Familienleben","Coronavirus","Ausgangssperre","Social Distancing",NA,"yes","2020-04-09T10:56:28.170018+00:00","http://xml.zeit.de/zeit-magazin/2020-04/ostern-tipps-freizeit-beschaeftigung-feiertage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5167","Coronavirus","Europa","Italien","Frankreich","Spanien","Bundesregierung","no","2020-04-09T10:18:08.568674+00:00","http://xml.zeit.de/wirtschaft/2020-04/coronavirus-europa-deutschland-wirtschaftskrise-coronabonds-eurobonds","Zweiter Weltkrieg","ESM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5168","Landwirtschaft","Mindestlohn","Coronavirus","Virus","Pandemie","Ernte","no","2020-04-09T21:20:04.942189+00:00","http://xml.zeit.de/wirtschaft/2020-04/erntehilfe-coronavirus-landwirtschaft-systemrelevanz-infektionsschutz","Infektionsschutz","Systemrelevanz","Deutschland","Coronakrise","Covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5169","Smartphone","PrivatsphÃ¤re","Coronavirus","App","Datenschutz","RKI","yes","yes","http://xml.zeit.de/2020/16/pandemie-app-coronavirus-eindaemmung-rki","Pandemie","Virus","Epidemie","Tracking",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5170","Coronavirus","Andrzej Duda","Ungarn","Polen","PiS","PrÃ¤sidentschaftswahl","no","2020-04-09T09:51:41.015587+00:00","http://xml.zeit.de/politik/ausland/2020-04/polen-coronavirus-ausnahmezustand-praesidentschaftswahl-mai-covid-19","Demokratie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5171","Mundschutz","Coronavirus","Unternehmen","China","Pandemie","SchutzausrÃ¼stung","Instagram","2020-04-12T07:18:15.517065+00:00","http://xml.zeit.de/2020/16/schutzausruestung-coronavirus-atemschutzmasken-knappheit-hersteller","Atemschutz","Wolfgang Grupp","Markus SÃ¶der","Ã–sterreich","Trigema","Covid-19","Michael Koch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5172","Coronavirus","Ausgangssperre","Markus SÃ¶der","Bayern","Ostern","Tegernsee","no","2020-04-09T16:59:18.249477+00:00","http://xml.zeit.de/gesellschaft/2020-04/tourismus-bayern-verbote-coronavirus-tourismus","Alpen","Tourismus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5173","Coronavirus","Wirtschaftskrise","Ã–lpreis","OPEC","USA","Ã–lproduktion","yes","2020-04-09T08:32:13.908988+00:00","http://xml.zeit.de/wirtschaft/2020-04/opec-oelproduktion-drosseln-oelpreise-corona-krise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5174","Coronavirus","Pandemie","Ostern","Judentum","Christentum","Pessach","yes","2020-04-07T14:51:41.879951+00:00","http://xml.zeit.de/2020/16/ostern-pessach-judentum-christentum-letztes-abendmahl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
